bib_key,title,authors,year,entry_type,url
Tao2016,Finite time blowup for an averaged Navier–Stokes equation,Terence Tao,2016,article,/bibliography/tao2016/
gilbert2016,Developmental Biology,"Gilbert, Scott F.",2016,book,/bibliography/gilbert2016/
Lairez2016,Computing periods of rational integrals,Pierre Lairez,2016,article,/bibliography/lairez2016/
Riehl2016,Category Theory in Context,Emily Riehl,2016,book,/bibliography/riehl2016/
Mohr2016,CODATA Recommended Values of the Fundamental Physical Constants: 2014,Peter J. Mohr and David B. Newell and Barry N. Taylor,2016,article,/bibliography/mohr2016/
PaulsenRaghupathi2016,An introduction to the theory of reproducing kernel Hilbert spaces,"Paulsen, Vern I. and Raghupathi, Mrinal",2016,book,/bibliography/paulsenraghupathi2016/
Lackenby2016,A quadratic upper bound on Reidemeister moves,Marc Lackenby,2016,article,/bibliography/lackenby2016/
Folland2016,A Course in Abstract Harmonic Analysis,"Folland, Gerald B.",2016,book,/bibliography/folland2016/
AgulloNelson2015,The pre-inflationary dynamics of loop quantum cosmology: confronting quantum gravity with observations,"Agullo, I. and Nelson, W.",2015,article,/bibliography/agullonelson2015/
lane2015,"The Vital Question: Energy, Evolution, and the Origins of Complex Life","Lane, Nick",2015,book,/bibliography/lane2015/
deMouraKong2021,The Lean Theorem Prover (System Description),"de Moura, Leonardo and Kong, Soonho and Avigad, Jeremy and van Doorn, Floris and von Raumer, Jakob",2015,inproceedings,/bibliography/demourakong2021/
wolpert2015,Principles of Development,"Wolpert, Lewis and Tickle, Cheryll and Martinez Arias, Alfonso",2015,book,/bibliography/wolpert2015/
Nagasawa2015,Oxytocin-Gaze Positive Loop and the Coevolution of Human-Dog Bonds,Miho Nagasawa and others,2015,article,/bibliography/nagasawa2015/
CoxLittleOShea2015,"Ideals, varieties, and algorithms","Cox, David A. and Little, John and O'Shea, Donal",2015,book,/bibliography/coxlittleoshea2015/
mancuso2015,Brilliant Green: The Surprising History and Science of Plant Intelligence,"Mancuso, Stefano and Viola, Alessandra",2015,book,/bibliography/mancuso2015/
will2014confrontation,The Confrontation Between General Relativity and Experiment,"Will, Clifford M.",2014,article,/bibliography/will2014confrontation/
Curry2014,"Sheaves, Cosheaves and Applications",Justin M. Curry,2014,phdthesis,/bibliography/curry2014/
Willard2014,On the Broader Epistemological Significance of Self-Justifying Axiom Systems,Dan E. Willard,2014,inproceedings,/bibliography/willard2014/
alberts2014,Molecular Biology of the Cell,"Alberts, Bruce and Johnson, Alexander and Lewis, Julian and Morgan, David and Raff, Martin and Roberts, Keith and Walter, Peter",2014,book,/bibliography/alberts2014/
priest2014magnetohydrodynamics,Magnetohydrodynamics of the Sun,"Priest, Eric R.",2014,book,/bibliography/priest2014magnetohydrodynamics/
alkhalili2014,Life on the Edge: The Coming of Age of Quantum Biology,"Al-Khalili, Jim and McFadden, Johnjoe",2014,book,/bibliography/alkhalili2014/
Ghrist2014,Elementary Applied Topology,Robert Ghrist,2014,book,/bibliography/ghrist2014/
dehaene2014,Consciousness and the Brain: Deciphering How the Brain Codes Our Thoughts,"Dehaene, Stanislas",2014,book,/bibliography/dehaene2014/
JohanssonMPMath2013,mpmath: a Python library for arbitrary-precision floating-point arithmetic,"Johansson, Fredrik",2013,misc,/bibliography/johanssonmpmath2013/
Christensen2008,The Epistemology of Disagreement: New Essays,David Christensen and Jennifer Lackey,2013,book,/bibliography/christensen2008/
england2013,Statistical Physics of Self-Replication,"England, Jeremy L.",2013,article,/bibliography/england2013/
HorakJost2013,Spectra of combinatorial Laplacians,Dinko Horak and Jürgen Jost,2013,article,/bibliography/horakjost2013/
lambert2013,Quantum Biology,"Lambert, Neill and Chen, Yueh-Nan and Cheng, Yuan-Chung and Li, Che-Ming and Chen, Guang-Yin and Nori, Franco",2013,article,/bibliography/lambert2013/
Gathen2013,Modern computer algebra,"von zur Gathen, Jürgen and Gerhard, Jürgen",2013,book,/bibliography/gathen2013/
VonZurGathenGerhard2013,Modern Computer Algebra,Joachim von zur Gathen and Jürgen Gerhard,2013,book,/bibliography/vonzurgathengerhard2013/
GolubVanLoan2013,Matrix Computations,"Golub, Gene H. and Van Loan, Charles F.",2013,book,/bibliography/golubvanloan2013/
Sipser2013,Introduction to the Theory of Computation,Michael Sipser,2013,book,/bibliography/sipser2013/
HoTT2013,Homotopy Type Theory: Univalent Foundations of Mathematics,Univalent Foundations Program,2013,book,/bibliography/hott2013/
HoTTBook2013,Homotopy Type Theory: Univalent Foundations of Mathematics,The Univalent Foundations Program,2013,book,/bibliography/hottbook2013/
Schreiber2013,Differential cohomology in a cohesive infinity-topos,Urs Schreiber,2013,misc,/bibliography/schreiber2013/
Hiary2013,An algorithm to compute the Riemann zeta function in quasilinear time,G. A. Hiary,2013,article,/bibliography/hiary2013/
GentiliStruppaVladimirov2013,Advances in Hypercomplex Analysis,Unknown,2013,book,/bibliography/gentilistruppavladimirov2013/
Hamkins2012,The Set-Theoretic Multiverse: A Natural Context for Set Theory,Joel David Hamkins,2012,article,/bibliography/hamkins2012/
HamkinsMultiverse2011,The Set-Theoretic Multiverse,Joel David Hamkins,2012,article,/bibliography/hamkinsmultiverse2011/
frankel2012geometry,The Geometry of Physics: An Introduction,"Frankel, Theodore",2012,book,/bibliography/frankel2012geometry/
tononi2012,Phi: A Voyage from the Brain to the Soul,Giulio Tononi,2012,book,/bibliography/tononi2012/
HiggsDiscovery2012,Observation of a new particle in the search for the Standard Model Higgs boson with the ATLAS detector at the LHC,ATLAS Collaboration,2012,article,/bibliography/higgsdiscovery2012/
CMSHiggs2012,Observation of a new boson at a mass of 125 GeV with the CMS experiment at the LHC,CMS Collaboration,2012,article,/bibliography/cmshiggs2012/
atlas2012observation,Observation of a New Particle in the Search for the Standard Model Higgs Boson with the ATLAS Detector at the LHC,"ATLAS Collaboration and Aad, Georges and others",2012,article,/bibliography/atlas2012observation/
ATLASHiggs2012,Observation of a New Particle in the Search for the Standard Model Higgs Boson,ATLAS Collaboration,2012,article,/bibliography/atlashiggs2012/
cms2012observation,Observation of a New Boson at a Mass of 125 GeV with the CMS Experiment at the LHC,"CMS Collaboration and Chatrchyan, Serguei and others",2012,article,/bibliography/cms2012observation/
HornJohnson2012,Matrix Analysis,Roger A. Horn and Charles R. Johnson,2012,book,/bibliography/hornjohnson2012/
Morishita2012,Knots and Primes: An Introduction to Arithmetic Topology,Masanori Morishita,2012,book,/bibliography/morishita2012/
Kisil2012,Geometry of Möbius transformations: Erlangen program at large,"Kisil, Vladimir V.",2012,book,/bibliography/kisil2012/
FyodorovHiaryKeating2012,"Freezing transition, characteristic polynomials of random matrices, and the Riemann zeta function","Fyodorov, Y. V. and Hiary, G. A. and Keating, J. P.",2012,article,/bibliography/fyodorovhiarykeating2012/
ChelkakSmirnov2012,Discrete complex analysis on isoradial graphs,"Chelkak, Dmitry and Smirnov, Stanislav",2012,article,/bibliography/chelkaksmirnov2012/
ChelkakSmirnov2016,Discrete complex analysis on isoradial graphs,"Chelkak, Dmitry and Smirnov, Stanislav",2012,article,/bibliography/chelkaksmirnov2016/
CockettCruttwell2012,"Differential Structure, Tangent Structure, and Differential Categories",Robin Cockett and Richard A. G. Cruttwell,2012,article,/bibliography/cockettcruttwell2012/
koch2012,Consciousness: Confessions of a Romantic Reductionist,"Koch, Christof",2012,book,/bibliography/koch2012/
Demailly2012,Complex analytic and differential geometry,"Demailly, Jean-Pierre",2012,book,/bibliography/demailly2012/
crawford2011,Viruses: A Very Short Introduction,"Crawford, Dorothy H.",2011,book,/bibliography/crawford2011/
Tucker2011,Validated Numerics: A Short Introduction to Rigorous Computations,"Tucker, Warwick",2011,book,/bibliography/tucker2011/
ramachandran2011,The Tell-Tale Brain: A Neuroscientist's Quest for What Makes Us Human,V. S. Ramachandran,2011,book,/bibliography/ramachandran2011/
Forstneric2011,Stein manifolds and holomorphic mappings,"Forstnerič, Franc",2011,book,/bibliography/forstneric2011/
pathria2011statistical,Statistical Mechanics,"Pathria, Raj K. and Beale, Paul D.",2011,book,/bibliography/pathria2011statistical/
Wolf2011,Spaces of Constant Curvature,J. A. Wolf,2011,book,/bibliography/wolf2011/
Jost2011,Riemannian Geometry and Geometric Analysis,"Jost, Jürgen",2011,book,/bibliography/jost2011/
fleming2011,Quantum Effects in Biology,"Fleming, Graham R. and Scholes, Gregory D. and Cheng, Yuan-Chung",2011,article,/bibliography/fleming2011/
BaezStay2011,"Physics, Topology, Logic and Computation: A Rosetta Stone",John C. Baez and Mike Stay,2011,book,/bibliography/baezstay2011/
Hay2011,Lexical Frequency in Morphology: Is Everything Relative?,Jennifer Hay,2011,article,/bibliography/hay2011/
deamer2011,"First Life: Discovering the Connections between Stars, Cells, and How Life Began","Deamer, David W.",2011,book,/bibliography/deamer2011/
Hiary2011,Fast methods to compute the Riemann zeta function,G. A. Hiary,2011,article,/bibliography/hiary2011/
Garland2011,Dynamic Horizontal Cultural Transmission of Humpback Whale Song,Eric C. Garland and others,2011,article,/bibliography/garland2011/
ChelkakSmirnov2011,Discrete complex analysis on isoradial graphs,"Chelkak, Dmitry and Smirnov, Stanislav",2011,article,/bibliography/chelkaksmirnov2011/
FukushimaOshimaTakeda2011,Dirichlet Forms and Symmetric Markov Processes,M. Fukushima and Y. Oshima and M. Takeda,2011,book,/bibliography/fukushimaoshimatakeda2011/
Barmak2011,Algebraic Topology of Finite Topological Spaces and Applications,Jonathan A. Barmak,2011,book,/bibliography/barmak2011/
FefermanStrahm2010,Unfolding Finitist Arithmetic,Solomon Feferman and Thomas Strahm,2010,incollection,/bibliography/fefermanstrahm2010/
ProtonRadius2010,The Size of the Proton,Randolf Pohl and others,2010,article,/bibliography/protonradius2010/
blackmond2010,The Origin of Biological Homochirality,"Blackmond, Donna G.",2010,article,/bibliography/blackmond2010/
genzel2010galactic,The Galactic Center Massive Black Hole and Nuclear Star Cluster,"Genzel, Reinhard and Eisenhauer, Frank and Gillessen, Stefan",2010,article,/bibliography/genzel2010galactic/
ZeeQFT2010,Quantum Field Theory in a Nutshell,A. Zee,2010,book,/bibliography/zeeqft2010/
Ribes2010,Profinite groups,"Ribes, Luis and Zalesskii, Pavel",2010,book,/bibliography/ribes2010/
RibesZalesskii2010,Profinite Groups,"Ribes, Luis and Zalesskii, Pavel",2010,book,/bibliography/ribeszalesskii2010/
baez2010,"Physics, Topology, Logic and Computation: A Rosetta Stone",John C. Baez and Mike Stay,2010,article,/bibliography/baez2010/
BaumgarteShapiro2010,Numerical Relativity: Solving Einstein's Equations on the Computer,Thomas W. Baumgarte and Stuart L. Shapiro,2010,book,/bibliography/baumgarteshapiro2010/
BrentZimmermann2010,Modern computer arithmetic,"Brent, Richard P. and Zimmermann, Paul",2010,book,/bibliography/brentzimmermann2010/
Forrester2010,Log-Gases and Random Matrices,"Forrester, P. J.",2010,book,/bibliography/forrester2010/
dunbar2010,How Many Friends Does One Person Need? Dunbar's Number and Other Evolutionary Quirks,Robin Dunbar,2010,book,/bibliography/dunbar2010/
Pressley2010,Elementary differential geometry,"Pressley, Andrew",2010,book,/bibliography/pressley2010/
forterre2010,Defining Life: The Virus Viewpoint,"Forterre, Patrick",2010,article,/bibliography/forterre2010/
EdelsbrunnerHarer2010,Computational Topology: An Introduction,Herbert Edelsbrunner and John Harer,2010,book,/bibliography/edelsbrunnerharer2010/
hasan2010topological,Colloquium: Topological Insulators,"Hasan, M. Zahid and Kane, Charles L.",2010,article,/bibliography/hasan2010topological/
Awodey2010,Category theory,"Awodey, Steve",2010,book,/bibliography/awodey2010/
metzinger2009,The Ego Tunnel: The Science of the Mind and the Myth of the Self,Thomas Metzinger,2009,book,/bibliography/metzinger2009/
Silverman2009,The Arithmetic of Elliptic Curves,Joseph H. Silverman,2009,book,/bibliography/silverman2009/
SilvermanAEC2009,The Arithmetic of Elliptic Curves,Joseph H. Silverman,2009,book,/bibliography/silvermanaec2009/
koonin2009,Origin and Evolution of the Genetic Code: The Universal Enigma,"Koonin, Eugene V. and Novozhilov, Artem S.",2009,article,/bibliography/koonin2009/
Soundararajan2009,Moments of the Riemann zeta function,"Soundararajan, K.",2009,article,/bibliography/soundararajan2009/
Cormen2009,Introduction to Algorithms,Thomas H. Cormen and Charles E. Leiserson and Ronald L. Rivest and Clifford Stein,2009,book,/bibliography/cormen2009/
Grigoryan2009,Heat Kernel and Analysis on Manifolds,A. Grigor'yan,2009,book,/bibliography/grigoryan2009/
lawvere2003sets,Conceptual Mathematics: A First Introduction to Categories,"Lawvere, F. William and Schanuel, Stephen H.",2009,book,/bibliography/lawvere2003sets/
LawvereSchanuel2009,Conceptual Mathematics: A First Introduction to Categories,"Lawvere, F. William and Schanuel, Stephen H.",2009,book,/bibliography/lawvereschanuel2009/
AroraBarak2009,Computational complexity: a modern approach,"Arora, Sanjeev and Barak, Boaz",2009,book,/bibliography/arorabarak2009/
pearl2009,"Causality: Models, Reasoning, and Inference",Judea Pearl,2009,book,/bibliography/pearl2009/
AaronsonWigderson2009,Algebrization: A New Barrier in Complexity Theory,Scott Aaronson and Avi Wigderson,2009,article,/bibliography/aaronsonwigderson2009/
Poonen2004,Undecidability in number theory and algebraic geometry,Bjorn Poonen,2008,article,/bibliography/poonen2004/
soon2008,Unconscious Determinants of Free Decisions in the Human Brain,Chun Siong Soon and Marcel Brass and Hans-Jochen Heinze and John-Dylan Haynes,2008,article,/bibliography/soon2008/
Catoni2008,The Mathematics of Minkowski Space-Time: With an Introduction to Commutative Hypercomplex Numbers,Francesco Catoni and Dino Boccaletti and Roberto Cannata and Vincenzo Catoni and Enrico Nichelatti and Paolo Zampetti,2008,book,/bibliography/catoni2008/
Katz2008,Rigid Local Systems,"Katz, Nicholas M.",2008,book,/bibliography/katz2008/
KleinerLott2006,Notes on Perelman's papers,Bruce Kleiner and John Lott,2008,article,/bibliography/kleinerlott2006/
KleinerLott2008,Notes on Perelman's papers,"Kleiner, Bruce and Lott, John",2008,misc,/bibliography/kleinerlott2008/
ConnesMarcolli2008,"Noncommutative Geometry, Quantum Fields and Motives",Alain Connes and Matilde Marcolli,2008,book,/bibliography/connesmarcolli2008/
Keeling2009,Modeling Infectious Diseases in Humans and Animals,Matt J. Keeling and Pejman Rohani,2008,book,/bibliography/keeling2009/
PetersSteenbrink2008,Mixed Hodge Structures,Chris A. M. Peters and Joseph H. M. Steenbrink,2008,book,/bibliography/peterssteenbrink2008/
ghez2008measuring,Measuring Distance and Properties of the Milky Way's Central Supermassive Black Hole with Stellar Orbits,"Ghez, Andrea M. and others",2008,article,/bibliography/ghez2008measuring/
EPRL2008,LQG vertex with finite Immirzi parameter,"Engle, J. and Livine, E. and Pereira, R. and Rovelli, C.",2008,article,/bibliography/eprl2008/
KatzarkovKontsevichPantev2008,Hodge theoretic aspects of mirror symmetry,L. Katzarkov and M. Kontsevich and T. Pantev,2008,article,/bibliography/katzarkovkontsevichpantev2008/
Meier2008,"Groups, Graphs and Trees: An Introduction to the Geometry of Infinite Groups",John Meier,2008,book,/bibliography/meier2008/
Ambrosio2008,Gradient Flows in Metric Spaces and in the Space of Probability Measures,"Ambrosio, Luigi and Gigli, Nicola and Savaré, Giuseppe",2008,book,/bibliography/ambrosio2008/
binney2008galactic,Galactic Dynamics,"Binney, James and Tremaine, Scott",2008,book,/bibliography/binney2008galactic/
doeleman2008event,Event-Horizon-Scale Structure in the Supermassive Black Hole Candidate at the Galactic Centre,"Doeleman, Sheperd S. and others",2008,article,/bibliography/doeleman2008event/
BobenkoSuris2008,Discrete Differential Geometry: Integrable Structure,Alexander I. Bobenko and Yuri B. Suris,2008,book,/bibliography/bobenkosuris2008/
Wells2008,Differential Analysis on Complex Manifolds,"Wells, Raymond O.",2008,book,/bibliography/wells2008/
weinberg2008cosmology,Cosmology,"Weinberg, Steven",2008,book,/bibliography/weinberg2008cosmology/
WeinbergCosmo2008,Cosmology,Steven Weinberg,2008,book,/bibliography/weinbergcosmo2008/
DeBerg2008,Computational geometry,"de Berg, Mark and Cheong, Otfried and van Kreveld, Marc and Overmars, Mark",2008,book,/bibliography/deberg2008/
HardyWright2008,An Introduction to the Theory of Numbers,"Hardy, G. H. and Wright, E. M.",2008,book,/bibliography/hardywright2008/
BrattkaHertlingWeihrauch2008,A tutorial on computable analysis,"Brattka, Vasco and Hertling, Peter and Weihrauch, Klaus",2008,incollection,/bibliography/brattkahertlingweihrauch2008/
FreidelKrasnov2008,A new spin foam model for 4d gravity,"Freidel, L. and Krasnov, K.",2008,article,/bibliography/freidelkrasnov2008/
GonekHughesKeating2007,The hybrid Euler–Hadamard product for the Riemann zeta function,"Gonek, S. M. and Hughes, C. P. and Keating, J. P.",2007,article,/bibliography/gonekhugheskeating2007/
MorganTian2007,Ricci Flow and the Poincaré Conjecture,J. Morgan and G. Tian,2007,book,/bibliography/morgantian2007/
Srednicki2007,Quantum Field Theory,Mark Srednicki,2007,book,/bibliography/srednicki2007/
OoguriVafa2007,On the geometry of the string landscape and the swampland,"Ooguri, H. and Vafa, C.",2007,article,/bibliography/oogurivafa2007/
MontgomeryVaughan2007,Multiplicative Number Theory I. Classical Theory,Hugh L. Montgomery and Robert C. Vaughan,2007,book,/bibliography/montgomeryvaughan2007/
