id,registry_id,title,slug,url,domain,cluster,confidence,book,part,chapter,type,scope,lean_status,registry_url,related_public_surface_count
registry-noteworthy-vi-d77,VI.D77,Abiogenesis Timescale Bound,abiogenesis-timescale-bound-vi-d77,/results/additional-noteworthy-results/life/abiogenesis-timescale-bound-vi-d77/,life,related_existing_surface,high,VI,2,14,definition,tau-effective,not_formalized,/registry/object/VI.D77/,4
registry-noteworthy-vi-t18,VI.T18,Agency as π-Base Extension,agency-as-pi-base-extension-vi-t18,/results/additional-noteworthy-results/life/agency-as-pi-base-extension-vi-t18/,life,related_existing_surface,high,VI,3,17,theorem,tau-effective,planned,/registry/object/VI.T18/,2
registry-noteworthy-vi-t20,VI.T20,Source as γ-Fiber Production,source-as-gamma-fiber-production-vi-t20,/results/additional-noteworthy-results/life/source-as-gamma-fiber-production-vi-t20/,life,related_existing_surface,high,VI,4,23,theorem,tau-effective,planned,/registry/object/VI.T20/,5
registry-noteworthy-vi-d41,VI.D41,Closure Sector,closure-sector-vi-d41,/results/additional-noteworthy-results/life/closure-sector-vi-d41/,life,related_existing_surface,medium,VI,5,28,definition,established,planned,/registry/object/VI.D41/,1
registry-noteworthy-vi-t23,VI.T23,Closure as η-Fiber Return,closure-as-eta-fiber-return-vi-t23,/results/additional-noteworthy-results/life/closure-as-eta-fiber-return-vi-t23/,life,related_existing_surface,high,VI,5,28,theorem,established,planned,/registry/object/VI.T23/,5
registry-noteworthy-vi-r16,VI.R16,Fungi as Closure Archetype,fungi-as-closure-archetype-vi-r16,/results/additional-noteworthy-results/life/fungi-as-closure-archetype-vi-r16/,life,related_existing_surface,medium,VI,5,29,remark,established,not_applicable,/registry/object/VI.R16/,1
registry-noteworthy-vi-t25,VI.T25,Signature Rigidity Determines Uniqueness,signature-rigidity-determines-uniqueness-vi-t25,/results/additional-noteworthy-results/life/signature-rigidity-determines-uniqueness-vi-t25/,life,related_existing_surface,high,VI,6,33,theorem,tau-effective,planned,/registry/object/VI.T25/,3
registry-noteworthy-vi-t49,VI.T49,Drift Bounded by Repair,drift-bounded-by-repair-vi-t49,/results/additional-noteworthy-results/life/drift-bounded-by-repair-vi-t49/,life,related_existing_surface,high,VI,6,35,theorem,tau-effective,not_formalized,/registry/object/VI.T49/,2
registry-noteworthy-vi-d60,VI.D60,ω-Representative of Life,omega-representative-of-life-vi-d60,/results/additional-noteworthy-results/life/omega-representative-of-life-vi-d60/,life,related_existing_surface,high,VI,7,45,definition,tau-effective,planned,/registry/object/VI.D60/,5
registry-noteworthy-vi-r21,VI.R21,"BH-as-Alive Is Theorem, Not Metaphor",bh-as-alive-is-theorem-not-metaphor-vi-r21,/results/additional-noteworthy-results/life/bh-as-alive-is-theorem-not-metaphor-vi-r21/,life,related_existing_surface,medium,VI,7,46,remark,tau-effective,not_applicable,/registry/object/VI.R21/,1
registry-noteworthy-vi-t37,VI.T37,Enrichment Saturation Theorem,enrichment-saturation-theorem-vi-t37,/results/additional-noteworthy-results/life/enrichment-saturation-theorem-vi-t37/,life,related_existing_surface,medium,VI,7,50,theorem,tau-effective,planned,/registry/object/VI.T37/,1
registry-noteworthy-vi-t40,VI.T40,Six Export Contracts to Book VII,six-export-contracts-to-book-vii-vi-t40,/results/additional-noteworthy-results/life/six-export-contracts-to-book-vii-vi-t40/,life,related_existing_surface,high,VI,8,53,theorem,established,planned,/registry/object/VI.T40/,3
registry-noteworthy-vi-l01,VI.L01,Weak-Sector Uniqueness,weak-sector-uniqueness-vi-l01,/results/additional-noteworthy-results/life/weak-sector-uniqueness-vi-l01/,life,standalone_additional_result,medium,VI,1,3,lemma,tau-effective,planned,/registry/object/VI.L01/,0
registry-noteworthy-vi-l09,VI.L09,BH Uniqueness Lemma,bh-uniqueness-lemma-vi-l09,/results/additional-noteworthy-results/life/bh-uniqueness-lemma-vi-l09/,life,standalone_additional_result,medium,VI,7,44,lemma,tau-effective,planned,/registry/object/VI.L09/,0
registry-noteworthy-vii-l21,VII.L21,Carrier Exhaustion,carrier-exhaustion-vii-l21,/results/additional-noteworthy-results/metaphysics/carrier-exhaustion-vii-l21/,metaphysics,related_existing_surface,medium,VII,1,8,lemma,tau-effective,formalized,/registry/object/VII.L21/,1
registry-noteworthy-vii-l32,VII.L32,OR3+OR4 Narrowing,or3-or4-narrowing-vii-l32,/results/additional-noteworthy-results/metaphysics/or3-or4-narrowing-vii-l32/,metaphysics,related_existing_surface,medium,VII,2,29,lemma,conjectural,formalized,/registry/object/VII.L32/,1
registry-noteworthy-vii-r15,VII.R15,Embodiment as Self-Boundary,embodiment-as-self-boundary-vii-r15,/results/additional-noteworthy-results/metaphysics/embodiment-as-self-boundary-vii-r15/,metaphysics,related_existing_surface,medium,VII,3,38,remark,tau-effective,not_applicable,/registry/object/VII.R15/,1
registry-noteworthy-vii-p11,VII.P11,Fractal Beauty as Scale Invariance,fractal-beauty-as-scale-invariance-vii-p11,/results/additional-noteworthy-results/metaphysics/fractal-beauty-as-scale-invariance-vii-p11/,metaphysics,related_existing_surface,medium,VII,4,47,proposition,tau-effective,not_applicable,/registry/object/VII.P11/,1
registry-noteworthy-vii-t20,VII.T20,Language as Self-Enrichment,language-as-self-enrichment-vii-t20,/results/additional-noteworthy-results/metaphysics/language-as-self-enrichment-vii-t20/,metaphysics,related_existing_surface,high,VII,5,57,theorem,tau-effective,formalized,/registry/object/VII.T20/,8
registry-noteworthy-vii-t28,VII.T28,Kripke Soundness in τ,kripke-soundness-in-tau-vii-t28,/results/additional-noteworthy-results/metaphysics/kripke-soundness-in-tau-vii-t28/,metaphysics,related_existing_surface,high,VII,6,73,theorem,tau-effective,formalized,/registry/object/VII.T28/,2
registry-noteworthy-vii-t39,VII.T39,Mind-Topos Structure Theorem,mind-topos-structure-theorem-vii-t39,/results/additional-noteworthy-results/metaphysics/mind-topos-structure-theorem-vii-t39/,metaphysics,related_existing_surface,high,VII,9,106,theorem,tau-effective,formalized,/registry/object/VII.T39/,8
registry-noteworthy-vii-t29,VII.T29,No-Explosion at Boundaries,no-explosion-at-boundaries-vii-t29,/results/additional-noteworthy-results/metaphysics/no-explosion-at-boundaries-vii-t29/,metaphysics,standalone_additional_result,high,VII,6,74,theorem,tau-effective,formalized,/registry/object/VII.T29/,0
registry-noteworthy-iii-p03,III.P03,E₁ Physical Preview,e1-physical-preview-iii-p03,/results/additional-noteworthy-results/physics/e1-physical-preview-iii-p03/,physics,related_existing_surface,medium,III,2,10,proposition,tau-effective,not_applicable,/registry/object/III.P03/,1
registry-noteworthy-iv-p327,IV.P327,The Neutron as Minimal Ontic Defect,the-neutron-as-minimal-ontic-defect-iv-p327,/results/additional-noteworthy-results/physics/the-neutron-as-minimal-ontic-defect-iv-p327/,physics,related_existing_surface,medium,IV,1,4,proposition,tau-effective,not_formalized,/registry/object/IV.P327/,1
registry-noteworthy-iv-d340,IV.D340,Nucleon Boundary Mode,nucleon-boundary-mode-iv-d340,/results/additional-noteworthy-results/physics/nucleon-boundary-mode-iv-d340/,physics,related_existing_surface,high,IV,1,6,definition,established,formalized,/registry/object/IV.D340/,4
registry-noteworthy-iv-p183,IV.P183,Sign of p-n splitting: QCD > EM,sign-of-p-n-splitting-qcd-em-iv-p183,/results/additional-noteworthy-results/physics/sign-of-p-n-splitting-qcd-em-iv-p183/,physics,related_existing_surface,high,IV,1,6,proposition,tau-effective,formalized,/registry/object/IV.P183/,8
registry-noteworthy-iv-r394,IV.R394,Comparison to Cottingham decomposition,comparison-to-cottingham-decomposition-iv-r394,/results/additional-noteworthy-results/physics/comparison-to-cottingham-decomposition-iv-r394/,physics,related_existing_surface,high,IV,1,6,remark,established,formalized,/registry/object/IV.R394/,5
registry-noteworthy-iv-t141,IV.T141,Proton-Neutron Mass Difference — Tree Level [SUPERSEDED],proton-neutron-mass-difference-tree-level-superseded-iv-t141,/results/additional-noteworthy-results/physics/proton-neutron-mass-difference-tree-level-superseded-iv-t141/,physics,related_existing_surface,high,IV,1,6,theorem,conjectural,formalized,/registry/object/IV.T141/,8
registry-noteworthy-iv-d546,IV.D546,Proton Derivation Principle,proton-derivation-principle-iv-d546,/results/additional-noteworthy-results/physics/proton-derivation-principle-iv-d546/,physics,related_existing_surface,high,IV,1,8,definition,tau-effective,not_formalized,/registry/object/IV.D546/,5
registry-noteworthy-iv-p274,IV.P274,Electron Mass,electron-mass-iv-p274,/results/additional-noteworthy-results/physics/electron-mass-iv-p274/,physics,related_existing_surface,high,IV,1,8,proposition,tau-effective,not_formalized,/registry/object/IV.P274/,5
registry-noteworthy-iv-p347,IV.P347,Proton Spin,proton-spin-iv-p347,/results/additional-noteworthy-results/physics/proton-spin-iv-p347/,physics,related_existing_surface,high,IV,1,8,proposition,tau-effective,not_formalized,/registry/object/IV.P347/,8
registry-noteworthy-iv-t257,IV.T257,Electron Charge from Conservation,electron-charge-from-conservation-iv-t257,/results/additional-noteworthy-results/physics/electron-charge-from-conservation-iv-t257/,physics,related_existing_surface,high,IV,1,8,theorem,tau-effective,not_formalized,/registry/object/IV.T257/,4
registry-noteworthy-iv-t333,IV.T333,Proton Charge from Conservation,proton-charge-from-conservation-iv-t333,/results/additional-noteworthy-results/physics/proton-charge-from-conservation-iv-t333/,physics,related_existing_surface,high,IV,1,8,theorem,tau-effective,not_formalized,/registry/object/IV.T333/,7
registry-noteworthy-iv-p331,IV.P331,Neutron Superiority as Calibration Standard,neutron-superiority-as-calibration-standard-iv-p331,/results/additional-noteworthy-results/physics/neutron-superiority-as-calibration-standard-iv-p331/,physics,related_existing_surface,medium,IV,1,11,proposition,tau-effective,not_formalized,/registry/object/IV.P331/,1
registry-noteworthy-iv-r276,IV.R276,R~formula independence,r-formula-independence-iv-r276,/results/additional-noteworthy-results/physics/r-formula-independence-iv-r276/,physics,related_existing_surface,high,IV,2,13,remark,tau-effective,formalized,/registry/object/IV.R276/,3
registry-noteworthy-iv-d307,IV.D307,Particle Mass Table,particle-mass-table-iv-d307,/results/additional-noteworthy-results/physics/particle-mass-table-iv-d307/,physics,related_existing_surface,high,IV,2,15,definition,tau-effective,formalized,/registry/object/IV.D307/,5
registry-noteworthy-iv-r285,IV.R285,Honest deviations,honest-deviations-iv-r285,/results/additional-noteworthy-results/physics/honest-deviations-iv-r285/,physics,related_existing_surface,high,IV,2,15,remark,tau-effective,formalized,/registry/object/IV.R285/,5
registry-noteworthy-iv-p208,IV.P208,Electron g-2 QED Series with α_τ: −3 ppm at NLO,electron-g-2-qed-series-with-alpha-tau-3-ppm-at-nlo-iv-p208,/results/additional-noteworthy-results/physics/electron-g-2-qed-series-with-alpha-tau-3-ppm-at-nlo-iv-p208/,physics,related_existing_surface,high,IV,2,20,proposition,tau-effective,skeleton,/registry/object/IV.P208/,5
registry-noteworthy-iv-t307,IV.T307,Neutron-to-Electron Mass Ratio,neutron-to-electron-mass-ratio-iv-t307,/results/additional-noteworthy-results/physics/neutron-to-electron-mass-ratio-iv-t307/,physics,related_existing_surface,high,IV,2,20,theorem,tau-effective,not_formalized,/registry/object/IV.T307/,8
registry-noteworthy-iv-p322,IV.P322,Neutrino from Decay,neutrino-from-decay-iv-p322,/results/additional-noteworthy-results/physics/neutrino-from-decay-iv-p322/,physics,related_existing_surface,medium,IV,3,24,proposition,framework,not_formalized,/registry/object/IV.P322/,1
registry-noteworthy-iv-p324,IV.P324,Non-Zero Neutrino Mass,non-zero-neutrino-mass-iv-p324,/results/additional-noteworthy-results/physics/non-zero-neutrino-mass-iv-p324/,physics,related_existing_surface,high,IV,3,24,proposition,framework,not_formalized,/registry/object/IV.P324/,8
registry-noteworthy-iv-t312,IV.T312,Neutrino Propagation Direction,neutrino-propagation-direction-iv-t312,/results/additional-noteworthy-results/physics/neutrino-propagation-direction-iv-t312/,physics,related_existing_surface,medium,IV,3,24,theorem,framework,not_formalized,/registry/object/IV.T312/,1
registry-noteworthy-iv-t316,IV.T316,Neutrino Mass Bound,neutrino-mass-bound-iv-t316,/results/additional-noteworthy-results/physics/neutrino-mass-bound-iv-t316/,physics,related_existing_surface,high,IV,3,24,theorem,framework,not_formalized,/registry/object/IV.T316/,7
registry-noteworthy-iv-t385,IV.T385,One-Parameter Neutrino Family --- V.T173,one-parameter-neutrino-family-v-t173-iv-t385,/results/additional-noteworthy-results/physics/one-parameter-neutrino-family-v-t173-iv-t385/,physics,related_existing_surface,medium,IV,3,24,theorem,framework,not_formalized,/registry/object/IV.T385/,1
registry-noteworthy-iv-p172,IV.P172,All Links tau-Effective --- IV.P07,all-links-tau-effective-iv-p07-iv-p172,/results/additional-noteworthy-results/physics/all-links-tau-effective-iv-p07-iv-p172/,physics,related_existing_surface,high,IV,3,25,proposition,tau-effective,formalized,/registry/object/IV.P172/,2
registry-noteworthy-iv-t117,IV.T117,Derivation Chain Complete --- IV.T15,derivation-chain-complete-iv-t15-iv-t117,/results/additional-noteworthy-results/physics/derivation-chain-complete-iv-t15-iv-t117/,physics,related_existing_surface,high,IV,3,25,theorem,tau-effective,formalized,/registry/object/IV.T117/,2
registry-noteworthy-iv-d348,IV.D348,Higgs Mass omega-Sector Formula,higgs-mass-omega-sector-formula-iv-d348,/results/additional-noteworthy-results/physics/higgs-mass-omega-sector-formula-iv-d348/,physics,related_existing_surface,high,IV,3,26,definition,tau-effective,formalized,/registry/object/IV.D348/,7
registry-noteworthy-iv-d358,IV.D358,Higgs n=7: Structural Identification as 2*lobes + sectors,higgs-n-7-structural-identification-as-2-lobes-sectors-iv-d358,/results/additional-noteworthy-results/physics/higgs-n-7-structural-identification-as-2-lobes-sectors-iv-d358/,physics,related_existing_surface,high,IV,3,26,definition,tau-effective,skeleton,/registry/object/IV.D358/,4
registry-noteworthy-iv-p207,IV.P207,Higgs-to-W Mass Ratio at +8.8 ppm (n=7 upgrade),higgs-to-w-mass-ratio-at-8-8-ppm-n-7-upgrade-iv-p207,/results/additional-noteworthy-results/physics/higgs-to-w-mass-ratio-at-8-8-ppm-n-7-upgrade-iv-p207/,physics,related_existing_surface,high,IV,3,26,proposition,tau-effective,skeleton,/registry/object/IV.P207/,8
registry-noteworthy-iv-p295,IV.P295,SM Hierarchy Problem,sm-hierarchy-problem-iv-p295,/results/additional-noteworthy-results/physics/sm-hierarchy-problem-iv-p295/,physics,related_existing_surface,medium,IV,3,26,proposition,framework,not_formalized,/registry/object/IV.P295/,1
registry-noteworthy-iv-p296,IV.P296,-Higgs Vacuum,higgs-vacuum-iv-p296,/results/additional-noteworthy-results/physics/higgs-vacuum-iv-p296/,physics,related_existing_surface,medium,IV,3,26,proposition,tau-effective,not_formalized,/registry/object/IV.P296/,1
registry-noteworthy-iv-r399,IV.R399,Open: omega Self-Energy Correction and Coefficient-6 Identification,open-omega-self-energy-correction-and-coefficient-6-identification-iv-r399,/results/additional-noteworthy-results/physics/open-omega-self-energy-correction-and-coefficient-6-identification-iv-r399/,physics,related_existing_surface,high,IV,3,26,remark,conjectural,formalized,/registry/object/IV.R399/,3
registry-noteworthy-iv-r408,IV.R408,m_mu/m_e Sub-100 ppm NNLO Status and Higgs n Comparison Table,m-mu-m-e-sub-100-ppm-nnlo-status-and-higgs-n-comparison-table-iv-r408,/results/additional-noteworthy-results/physics/m-mu-m-e-sub-100-ppm-nnlo-status-and-higgs-n-comparison-table-iv-r408/,physics,related_existing_surface,high,IV,3,26,remark,tau-effective,skeleton,/registry/object/IV.R408/,7
registry-noteworthy-iv-t321,IV.T321,Neutron Ontological Priority Confirmed,neutron-ontological-priority-confirmed-iv-t321,/results/additional-noteworthy-results/physics/neutron-ontological-priority-confirmed-iv-t321/,physics,related_existing_surface,high,IV,3,28,theorem,framework,not_formalized,/registry/object/IV.T321/,7
registry-noteworthy-iv-p34,IV.P34,Charge of Fundamental Modes,charge-of-fundamental-modes-iv-p34,/results/additional-noteworthy-results/physics/charge-of-fundamental-modes-iv-p34/,physics,related_existing_surface,high,IV,4,26,proposition,tau-effective,formalized,/registry/object/IV.P34/,4
registry-noteworthy-iv-r353,IV.R353,No need for magnetic monopoles,no-need-for-magnetic-monopoles-iv-r353,/results/additional-noteworthy-results/physics/no-need-for-magnetic-monopoles-iv-r353/,physics,related_existing_surface,high,IV,4,26,remark,tau-effective,not_applicable,/registry/object/IV.R353/,6
registry-noteworthy-iv-p48,IV.P48,Magnetic Force Does No Work,magnetic-force-does-no-work-iv-p48,/results/additional-noteworthy-results/physics/magnetic-force-does-no-work-iv-p48/,physics,related_existing_surface,medium,IV,4,28,proposition,tau-effective,formalized,/registry/object/IV.P48/,1
registry-noteworthy-iv-t161,IV.T161,Neutron EDM = 0 Exactly from τ-Framework,neutron-edm-0-exactly-from-tau-framework-iv-t161,/results/additional-noteworthy-results/physics/neutron-edm-0-exactly-from-tau-framework-iv-t161/,physics,related_existing_surface,high,IV,4,30,theorem,tau-effective,skeleton,/registry/object/IV.T161/,8
registry-noteworthy-iv-p61,IV.P61,Measured Rho,measured-rho-iv-p61,/results/additional-noteworthy-results/physics/measured-rho-iv-p61/,physics,related_existing_surface,high,IV,4,31,proposition,tau-effective,formalized,/registry/object/IV.P61/,5
registry-noteworthy-iv-d343,IV.D343,Neutrino Exponent Best-Fit,neutrino-exponent-best-fit-iv-d343,/results/additional-noteworthy-results/physics/neutrino-exponent-best-fit-iv-d343/,physics,related_existing_surface,high,IV,4,32,definition,tau-effective,formalized,/registry/object/IV.D343/,2
registry-noteworthy-iv-t324,IV.T324,No Fine-Tuning in Category~,no-fine-tuning-in-category-iv-t324,/results/additional-noteworthy-results/physics/no-fine-tuning-in-category-iv-t324/,physics,related_existing_surface,high,IV,4,33,theorem,tau-effective,not_formalized,/registry/object/IV.T324/,3
registry-noteworthy-iv-p75,IV.P75,Higgs Mass Readout,higgs-mass-readout-iv-p75,/results/additional-noteworthy-results/physics/higgs-mass-readout-iv-p75/,physics,related_existing_surface,high,IV,4,34,proposition,conjectural,formalized,/registry/object/IV.P75/,5
registry-noteworthy-iv-t124,IV.T124,The sqrt3,the-sqrt3-iv-t124,/results/additional-noteworthy-results/physics/the-sqrt3-iv-t124/,physics,related_existing_surface,high,IV,4,35,theorem,tau-effective,formalized,/registry/object/IV.T124/,4
registry-noteworthy-iv-r41,IV.R41,Ontological Inventory,ontological-inventory-iv-r41,/results/additional-noteworthy-results/physics/ontological-inventory-iv-r41/,physics,related_existing_surface,high,IV,4,36,remark,tau-effective,not_applicable,/registry/object/IV.R41/,8
registry-noteworthy-iv-r42,IV.R42,Five Conceptual Shifts,five-conceptual-shifts-iv-r42,/results/additional-noteworthy-results/physics/five-conceptual-shifts-iv-r42/,physics,related_existing_surface,high,IV,4,36,remark,tau-effective,not_applicable,/registry/object/IV.R42/,5
registry-noteworthy-iv-p339,IV.P339,Neutrino Oscillations from Geometry,neutrino-oscillations-from-geometry-iv-p339,/results/additional-noteworthy-results/physics/neutrino-oscillations-from-geometry-iv-p339/,physics,related_existing_surface,high,IV,5,35,proposition,framework,not_formalized,/registry/object/IV.P339/,4
registry-noteworthy-iv-p390,IV.P390,Neutrino Span ; Ratio  from  --- V.P129,neutrino-span-ratio-from-v-p129-iv-p390,/results/additional-noteworthy-results/physics/neutrino-span-ratio-from-v-p129-iv-p390/,physics,related_existing_surface,medium,IV,5,35,proposition,framework,not_formalized,/registry/object/IV.P390/,1
registry-noteworthy-iv-t220,IV.T220,A-Sector Rotation Mechanism,a-sector-rotation-mechanism-iv-t220,/results/additional-noteworthy-results/physics/a-sector-rotation-mechanism-iv-t220/,physics,related_existing_surface,medium,IV,5,35,theorem,framework,not_formalized,/registry/object/IV.T220/,1
registry-noteworthy-iv-t315,IV.T315,Neutrino Mass Suppression,neutrino-mass-suppression-iv-t315,/results/additional-noteworthy-results/physics/neutrino-mass-suppression-iv-t315/,physics,related_existing_surface,high,IV,5,35,theorem,tau-effective,not_formalized,/registry/object/IV.T315/,8
registry-noteworthy-iv-d369,IV.D369,Quark Mass Winding Exponents,quark-mass-winding-exponents-iv-d369,/results/additional-noteworthy-results/physics/quark-mass-winding-exponents-iv-d369/,physics,related_existing_surface,high,IV,5,36,definition,tau-effective,skeleton,/registry/object/IV.D369/,4
registry-noteworthy-iv-p187,IV.P187,Quark-Lepton Universality: Exponent Step ≈ −2.7,quark-lepton-universality-exponent-step-2-7-iv-p187,/results/additional-noteworthy-results/physics/quark-lepton-universality-exponent-step-2-7-iv-p187/,physics,related_existing_surface,high,IV,5,36,proposition,tau-effective,formalized,/registry/object/IV.P187/,2
registry-noteworthy-iv-p196,IV.P196,PMNS Large Mixing from A-Sector Rotation and QLC Complementarity,pmns-large-mixing-from-a-sector-rotation-and-qlc-complementarity-iv-p196,/results/additional-noteworthy-results/physics/pmns-large-mixing-from-a-sector-rotation-and-qlc-complementarity-iv-p196/,physics,related_existing_surface,high,IV,5,36,proposition,tau-effective,formalized,/registry/object/IV.P196/,2
registry-noteworthy-iv-p211,IV.P211,Quark-Lepton Exponent Symmetry,quark-lepton-exponent-symmetry-iv-p211,/results/additional-noteworthy-results/physics/quark-lepton-exponent-symmetry-iv-p211/,physics,related_existing_surface,high,IV,5,36,proposition,tau-effective,skeleton,/registry/object/IV.P211/,2
registry-noteworthy-iv-p214,IV.P214,IV.OP5 Status (Wave 35),iv-op5-status-wave-35-iv-p214,/results/additional-noteworthy-results/physics/iv-op5-status-wave-35-iv-p214/,physics,related_existing_surface,high,IV,5,36,proposition,conjectural,skeleton,/registry/object/IV.P214/,2
registry-noteworthy-iv-p216,IV.P216,Step-Exponent Confinement Correction,step-exponent-confinement-correction-iv-p216,/results/additional-noteworthy-results/physics/step-exponent-confinement-correction-iv-p216/,physics,related_existing_surface,high,IV,5,36,proposition,tau-effective,skeleton,/registry/object/IV.P216/,2
registry-noteworthy-iv-p218,IV.P218,Confinement-Free Top Quark,confinement-free-top-quark-iv-p218,/results/additional-noteworthy-results/physics/confinement-free-top-quark-iv-p218/,physics,related_existing_surface,high,IV,5,36,proposition,tau-effective,skeleton,/registry/object/IV.P218/,8
registry-noteworthy-iv-p221,IV.P221,m_c/m_t Exponent from Higgs-Weighted Transition,m-c-m-t-exponent-from-higgs-weighted-transition-iv-p221,/results/additional-noteworthy-results/physics/m-c-m-t-exponent-from-higgs-weighted-transition-iv-p221/,physics,related_existing_surface,medium,IV,5,36,proposition,tau-effective,formalized,/registry/object/IV.P221/,1
registry-noteworthy-iv-p223,IV.P223,Lobe-Power Hierarchy of Quark Exponents,lobe-power-hierarchy-of-quark-exponents-iv-p223,/results/additional-noteworthy-results/physics/lobe-power-hierarchy-of-quark-exponents-iv-p223/,physics,related_existing_surface,medium,IV,5,36,proposition,tau-effective,formalized,/registry/object/IV.P223/,1
registry-noteworthy-iv-p273,IV.P273,Down-Type Quark Hierarchy,down-type-quark-hierarchy-iv-p273,/results/additional-noteworthy-results/physics/down-type-quark-hierarchy-iv-p273/,physics,related_existing_surface,medium,IV,5,36,proposition,tau-effective,not_formalized,/registry/object/IV.P273/,1
registry-noteworthy-iv-r401,IV.R401,Cross-Check: 1/21 in p-n Mass Difference = 1/(4·W₃(4)+1); n=7 Higgs at +8 ppm,cross-check-1-21-in-p-n-mass-difference-1-4w3-4-1-n-7-higgs-at-8-ppm-iv-r401,/results/additional-noteworthy-results/physics/cross-check-1-21-in-p-n-mass-difference-1-4w3-4-1-n-7-higgs-at-8-ppm-iv-r401/,physics,related_existing_surface,high,IV,5,36,remark,tau-effective,formalized,/registry/object/IV.R401/,8
registry-noteworthy-iv-r421,IV.R421,Light Quark Mass Ratio m_u/m_d Candidates,light-quark-mass-ratio-m-u-m-d-candidates-iv-r421,/results/additional-noteworthy-results/physics/light-quark-mass-ratio-m-u-m-d-candidates-iv-r421/,physics,related_existing_surface,high,IV,5,36,remark,conjectural,not_applicable,/registry/object/IV.R421/,5
registry-noteworthy-iv-r422,IV.R422,IV.OP5 Status: Quark Mass Problem (Wave 32),iv-op5-status-quark-mass-problem-wave-32-iv-r422,/results/additional-noteworthy-results/physics/iv-op5-status-quark-mass-problem-wave-32-iv-r422/,physics,related_existing_surface,high,IV,5,36,remark,conjectural,not_applicable,/registry/object/IV.R422/,2
registry-noteworthy-iv-r432,IV.R432,Up Quark Status Update (Wave 44),up-quark-status-update-wave-44-iv-r432,/results/additional-noteworthy-results/physics/up-quark-status-update-wave-44-iv-r432/,physics,related_existing_surface,medium,IV,5,36,remark,tau-effective,not_applicable,/registry/object/IV.R432/,1
registry-noteworthy-iv-t153,IV.T153,PMNS Large Mixing Requires A-Sector Flavor Rotation Beyond σ-Matrix,pmns-large-mixing-requires-a-sector-flavor-rotation-beyond-sigma-matrix-iv-t153,/results/additional-noteworthy-results/physics/pmns-large-mixing-requires-a-sector-flavor-rotation-beyond-sigma-matrix-iv-t153/,physics,related_existing_surface,high,IV,5,36,theorem,tau-effective,formalized,/registry/object/IV.T153/,4
