publication_id,publication_key,type,status,artifact_availability,release_date,title,canonical_url,website_url,short_url
pgd027,public_good_dossiers.new_aerial_logistics_aam_airships_humanitarian_remote,public_good_briefing,released,local_pdf,2026-05-02,τ and New Aerial Logistics,https://panta-rhei.site/publications/research-briefings/public-good/new-aerial-logistics-aam-airships-humanitarian-remote/,https://panta-rhei.site/publications/research-briefings/public-good/new-aerial-logistics-aam-airships-humanitarian-remote/,https://prrp.site/pgd027
pgd026,public_good_dossiers.integrated_energy_system_planning_market_design_investment_coordination,public_good_briefing,released,local_pdf,2026-05-02,"τ for Integrated Energy-System Planning, Market Design, Investment Prioritization, and International Coordination",https://panta-rhei.site/publications/research-briefings/public-good/integrated-energy-system-planning-market-design-investment-coordination/,https://panta-rhei.site/publications/research-briefings/public-good/integrated-energy-system-planning-market-design-investment-coordination/,https://prrp.site/pgd026
pgd025,public_good_dossiers.industrial_transport_agricultural_emissions_attribution_compliance_abatement,public_good_briefing,released,local_pdf,2026-05-02,"Tau for Industrial, Transport, and Agricultural Emissions Attribution, Compliance, and High-Return Abatement Targeting",https://panta-rhei.site/publications/research-briefings/public-good/industrial-transport-agricultural-emissions-attribution-compliance-abatement/,https://panta-rhei.site/publications/research-briefings/public-good/industrial-transport-agricultural-emissions-attribution-compliance-abatement/,https://prrp.site/pgd025
pgd024,public_good_dossiers.grid_digital_twins_reliability_dispatch_resilience,public_good_briefing,released,local_pdf,2026-05-02,"Tau-Grade Grid Digital Twins, Reliability, Dispatch, and Resilience",https://panta-rhei.site/publications/research-briefings/public-good/grid-digital-twins-reliability-dispatch-resilience/,https://panta-rhei.site/publications/research-briefings/public-good/grid-digital-twins-reliability-dispatch-resilience/,https://prrp.site/pgd024
pgd023,public_good_dossiers.fusion_digital_twins_plasma_control_heat_exhaust_iter_demo,public_good_briefing,released,local_pdf,2026-05-02,"τ for Fusion Digital Twins, Plasma Control, Heat Exhaust, and ITER → DEMO → Commercialization",https://panta-rhei.site/publications/research-briefings/public-good/fusion-digital-twins-plasma-control-heat-exhaust-iter-demo/,https://panta-rhei.site/publications/research-briefings/public-good/fusion-digital-twins-plasma-control-heat-exhaust-iter-demo/,https://prrp.site/pgd023
pgd022,public_good_dossiers.food_safety_livestock_wildlife_community_exposure,public_good_briefing,released,local_pdf,2026-05-02,"Tau for Food Safety, Livestock/Wildlife Interface, and Community Exposure Intelligence",https://panta-rhei.site/publications/research-briefings/public-good/food-safety-livestock-wildlife-community-exposure/,https://panta-rhei.site/publications/research-briefings/public-good/food-safety-livestock-wildlife-community-exposure/,https://prrp.site/pgd022
pgd021,public_good_dossiers.flood_coastal_surge_landslide_resilience,public_good_briefing,released,local_pdf,2026-05-02,"Tau for Flood, Coastal Surge, Flash Flood, and Landslide Resilience",https://panta-rhei.site/publications/research-briefings/public-good/flood-coastal-surge-landslide-resilience/,https://panta-rhei.site/publications/research-briefings/public-good/flood-coastal-surge-landslide-resilience/,https://prrp.site/pgd021
pgd020,public_good_dossiers.drinking_water_source_treatment_quality_early_warning,public_good_briefing,released,local_pdf,2026-05-02,"Tau-Grade Drinking-Water Source, Treatment, and Quality Early Warning",https://panta-rhei.site/publications/research-briefings/public-good/drinking-water-source-treatment-quality-early-warning/,https://panta-rhei.site/publications/research-briefings/public-good/drinking-water-source-treatment-quality-early-warning/,https://prrp.site/pgd020
pgd019,public_good_dossiers.distribution_networks_leakage_pressure_service_continuity,public_good_briefing,released,local_pdf,2026-05-02,"τ for Distribution Networks, Leakage, Pressure, and Service Continuity",https://panta-rhei.site/publications/research-briefings/public-good/distribution-networks-leakage-pressure-service-continuity/,https://panta-rhei.site/publications/research-briefings/public-good/distribution-networks-leakage-pressure-service-continuity/,https://prrp.site/pgd019
pgd018,public_good_dossiers.distributed_pv_visibility_distribution_grid_orchestration,public_good_briefing,released,local_pdf,2026-05-02,τ for Distributed PV Visibility and Distribution-Grid Orchestration,https://panta-rhei.site/publications/research-briefings/public-good/distributed-pv-visibility-distribution-grid-orchestration/,https://panta-rhei.site/publications/research-briefings/public-good/distributed-pv-visibility-distribution-grid-orchestration/,https://prrp.site/pgd018
pgd017,public_good_dossiers.der_storage_flexible_demand_microgrids_td_planning,public_good_briefing,released,local_pdf,2026-05-02,"Tau for DER Orchestration, Storage, Flexible Demand, Microgrids, and T&D Planning",https://panta-rhei.site/publications/research-briefings/public-good/der-storage-flexible-demand-microgrids-td-planning/,https://panta-rhei.site/publications/research-briefings/public-good/der-storage-flexible-demand-microgrids-td-planning/,https://prrp.site/pgd017
pgd016,public_good_dossiers.crop_biology_breeding_photosynthesis_gene_design,public_good_briefing,released,local_pdf,2026-05-02,"Tau for Crop Biology, Breeding, Photosynthesis Engineering, and Targeted Gene Design",https://panta-rhei.site/publications/research-briefings/public-good/crop-biology-breeding-photosynthesis-gene-design/,https://panta-rhei.site/publications/research-briefings/public-good/crop-biology-breeding-photosynthesis-gene-design/,https://prrp.site/pgd016
pgd015,public_good_dossiers.critical_infrastructure_emergency_operations_public_service_continuity,public_good_briefing,released,local_pdf,2026-05-02,"Tau for Critical Infrastructure, Emergency Operations, and Public-Service Continuity",https://panta-rhei.site/publications/research-briefings/public-good/critical-infrastructure-emergency-operations-public-service-continuity/,https://panta-rhei.site/publications/research-briefings/public-good/critical-infrastructure-emergency-operations-public-service-continuity/,https://prrp.site/pgd015
pgd014,public_good_dossiers.climate_smart_shipping_decarbonization_wind_corridors,public_good_briefing,released,local_pdf,2026-05-02,τ and Climate-Smart Shipping,https://panta-rhei.site/publications/research-briefings/public-good/climate-smart-shipping-decarbonization-wind-corridors/,https://panta-rhei.site/publications/research-briefings/public-good/climate-smart-shipping-decarbonization-wind-corridors/,https://prrp.site/pgd014
pgd013,public_good_dossiers.climate_smart_irrigation_soil_moisture_water_productivity,public_good_briefing,released,local_pdf,2026-05-02,"Tau for Climate-Smart Irrigation, Soil Moisture, and Water Productivity",https://panta-rhei.site/publications/research-briefings/public-good/climate-smart-irrigation-soil-moisture-water-productivity/,https://panta-rhei.site/publications/research-briefings/public-good/climate-smart-irrigation-soil-moisture-water-productivity/,https://prrp.site/pgd013
pgd012,public_good_dossiers.climate_smart_aviation_contrail_routing_decarbonization,public_good_briefing,released,local_pdf,2026-05-02,τ-Enabled Climate-Smart Aviation,https://panta-rhei.site/publications/research-briefings/public-good/climate-smart-aviation-contrail-routing-decarbonization/,https://panta-rhei.site/publications/research-briefings/public-good/climate-smart-aviation-contrail-routing-decarbonization/,https://prrp.site/pgd012
pgd011,public_good_dossiers.climate_policy_optimization_investment_prioritization_international_coordination,public_good_briefing,released,local_pdf,2026-05-02,"Tau for Climate Policy Optimization, Investment Prioritization, and International Coordination",https://panta-rhei.site/publications/research-briefings/public-good/climate-policy-optimization-investment-prioritization-international-coordination/,https://panta-rhei.site/publications/research-briefings/public-good/climate-policy-optimization-investment-prioritization-international-coordination/,https://prrp.site/pgd011
pgd010,public_good_dossiers.clean_air_digital_twins_exposure_intelligence,public_good_briefing,released,local_pdf,2026-05-02,"Tau-Grade Clean-Air Digital Twins, Exposure Intelligence, and Urban/Regional Health Protection",https://panta-rhei.site/publications/research-briefings/public-good/clean-air-digital-twins-exposure-intelligence/,https://panta-rhei.site/publications/research-briefings/public-good/clean-air-digital-twins-exposure-intelligence/,https://prrp.site/pgd010
pgd009,public_good_dossiers.chemicals_toxic_releases_lead_pfas_heavy_metals_plume_remediation,public_good_briefing,released,local_pdf,2026-05-02,"Tau for Chemicals, Toxic Releases, Lead/PFAS/Heavy Metals, Water-Soil-Air Plume Intelligence, and Remediation",https://panta-rhei.site/publications/research-briefings/public-good/chemicals-toxic-releases-lead-pfas-heavy-metals-plume-remediation/,https://panta-rhei.site/publications/research-briefings/public-good/chemicals-toxic-releases-lead-pfas-heavy-metals-plume-remediation/,https://prrp.site/pgd009
pgd008,public_good_dossiers.carbon_cycle_methane_aerosol_sink_intelligence,public_good_briefing,released,local_pdf,2026-05-02,"Tau for Carbon-Cycle, Methane, Aerosol, and Sink Intelligence",https://panta-rhei.site/publications/research-briefings/public-good/carbon-cycle-methane-aerosol-sink-intelligence/,https://panta-rhei.site/publications/research-briefings/public-good/carbon-cycle-methane-aerosol-sink-intelligence/,https://prrp.site/pgd008
pgd007,public_good_dossiers.bulk_grid_solar_forecasting,public_good_briefing,released,local_pdf,2026-05-02,Tau-Grade Solar Forecasting for Bulk-Grid Operations and Market Dispatch,https://panta-rhei.site/publications/research-briefings/public-good/bulk-grid-solar-forecasting/,https://panta-rhei.site/publications/research-briefings/public-good/bulk-grid-solar-forecasting/,https://prrp.site/pgd007
pgd006,public_good_dossiers.blue_food_systems_marine_ecosystem_intelligence,public_good_briefing,released,local_pdf,2026-05-02,τ and Blue Food Systems,https://panta-rhei.site/publications/research-briefings/public-good/blue-food-systems-marine-ecosystem-intelligence/,https://panta-rhei.site/publications/research-briefings/public-good/blue-food-systems-marine-ecosystem-intelligence/,https://prrp.site/pgd006
pgd005,public_good_dossiers.biodiversity_finance_monitoring_restoration_verification,public_good_briefing,released,local_pdf,2026-05-02,"τ for Biodiversity Finance, Monitoring, Restoration Verification, and Nature-Positive Investment Prioritization",https://panta-rhei.site/publications/research-briefings/public-good/biodiversity-finance-monitoring-restoration-verification/,https://panta-rhei.site/publications/research-briefings/public-good/biodiversity-finance-monitoring-restoration-verification/,https://prrp.site/pgd005
pgd004,public_good_dossiers.aviation_weather_intelligence,public_good_briefing,released,local_pdf,2026-05-02,Tau-Grade Aviation Weather Intelligence for Mainstream Aviation,https://panta-rhei.site/publications/research-briefings/public-good/aviation-weather-intelligence/,https://panta-rhei.site/publications/research-briefings/public-good/aviation-weather-intelligence/,https://prrp.site/pgd004
pgd003,public_good_dossiers.anticipatory_action_humanitarian_logistics_climate_risk_finance,public_good_briefing,released,local_pdf,2026-05-02,"Tau for Anticipatory Action, Humanitarian Logistics, and Climate-Risk Finance",https://panta-rhei.site/publications/research-briefings/public-good/anticipatory-action-humanitarian-logistics-climate-risk-finance/,https://panta-rhei.site/publications/research-briefings/public-good/anticipatory-action-humanitarian-logistics-climate-risk-finance/,https://prrp.site/pgd003
pgd002,public_good_dossiers.amr_wastewater_environmental_transmission_intelligence,public_good_briefing,released,local_pdf,2026-05-02,"Tau for AMR, Wastewater/Environmental Surveillance, and Environmental Transmission Intelligence",https://panta-rhei.site/publications/research-briefings/public-good/amr-wastewater-environmental-transmission-intelligence/,https://panta-rhei.site/publications/research-briefings/public-good/amr-wastewater-environmental-transmission-intelligence/,https://prrp.site/pgd002
pgd001,public_good_dossiers.advanced_fission_safety_operations_licensing_fleet_modernization,public_good_briefing,released,local_pdf,2026-05-02,"τ for Advanced Fission Safety, Operations, Licensing, and Fleet Modernization",https://panta-rhei.site/publications/research-briefings/public-good/advanced-fission-safety-operations-licensing-fleet-modernization/,https://panta-rhei.site/publications/research-briefings/public-good/advanced-fission-safety-operations-licensing-fleet-modernization/,https://prrp.site/pgd001
rm007,research_monographs.book_vii,research_monograph,released,external_link,2026-04-30,Book VII: Categorical Metaphysics,https://panta-rhei.site/publications/books/book-vii/,https://panta-rhei.site/publications/books/book-vii/,https://prrp.site/rm007
rm006,research_monographs.book_vi,research_monograph,released,external_link,2026-04-30,Book VI: Categorical Life,https://panta-rhei.site/publications/books/book-vi/,https://panta-rhei.site/publications/books/book-vi/,https://prrp.site/rm006
rm005,research_monographs.book_v,research_monograph,released,external_link,2026-04-30,Book V: Categorical Macrocosm,https://panta-rhei.site/publications/books/book-v/,https://panta-rhei.site/publications/books/book-v/,https://prrp.site/rm005
rm004,research_monographs.book_iv,research_monograph,released,external_link,2026-04-30,Book IV: Categorical Microcosm,https://panta-rhei.site/publications/books/book-iv/,https://panta-rhei.site/publications/books/book-iv/,https://prrp.site/rm004
rm003,research_monographs.book_iii,research_monograph,released,external_link,2026-04-30,Book III: Categorical Spectrum,https://panta-rhei.site/publications/books/book-iii/,https://panta-rhei.site/publications/books/book-iii/,https://prrp.site/rm003
rm002,research_monographs.book_ii,research_monograph,released,external_link,2026-04-30,Book II: Categorical Holomorphy,https://panta-rhei.site/publications/books/book-ii/,https://panta-rhei.site/publications/books/book-ii/,https://prrp.site/rm002
rm001,research_monographs.book_i,research_monograph,released,external_link,2026-04-30,Book I: Categorical Foundations,https://panta-rhei.site/publications/books/book-i/,https://panta-rhei.site/publications/books/book-i/,https://prrp.site/rm001
ms002,monograph_supplements.categorical_genesis,monograph_supplement,released,local_pdf,2026-04-30,Categorical Genesis,https://panta-rhei.site/publications/monograph-supplements/categorical-genesis/,https://panta-rhei.site/publications/monograph-supplements/categorical-genesis/,https://prrp.site/ms002
ms001,monograph_supplements.numerical_physics_ledger,monograph_supplement,released,local_pdf,2026-04-30,The Numerical Physics Ledger,https://panta-rhei.site/publications/monograph-supplements/numerical-physics-ledger/,https://panta-rhei.site/publications/monograph-supplements/numerical-physics-ledger/,https://prrp.site/ms001
rp009,research_papers.panta_rhei_foundational_bundle,research_paper,released,local_pdf,2026-04-27,The Panta Rhei Foundational Bundle,https://panta-rhei.site/publications/research-papers/panta-rhei-foundational-bundle/,https://panta-rhei.site/publications/research-papers/panta-rhei-foundational-bundle/,https://prrp.site/rp009
rp008,research_papers.tau_kernel_foundational_architecture,research_paper,released,local_pdf,2026-04-27,The tau-Kernel as Foundational Architecture,https://panta-rhei.site/publications/research-papers/tau-kernel-foundational-architecture/,https://panta-rhei.site/publications/research-papers/tau-kernel-foundational-architecture/,https://prrp.site/rp008
rp007,research_papers.address_resolution_not_calculation,research_paper,released,local_pdf,2026-04-27,"Address Resolution, Not Calculation",https://panta-rhei.site/publications/research-papers/address-resolution-not-calculation/,https://panta-rhei.site/publications/research-papers/address-resolution-not-calculation/,https://prrp.site/rp007
rp006,research_papers.tau_topos_four_valued_internal_logic,research_paper,released,local_pdf,2026-04-27,The tau-Topos and Its Four-Valued Internal Logic,https://panta-rhei.site/publications/research-papers/tau-topos-four-valued-internal-logic/,https://panta-rhei.site/publications/research-papers/tau-topos-four-valued-internal-logic/,https://prrp.site/rp006
rp005,research_papers.tau_holomorphy_boundary_algebra,research_paper,released,local_pdf,2026-04-27,tau-Holomorphy on the Boundary Algebra,https://panta-rhei.site/publications/research-papers/tau-holomorphy-boundary-algebra/,https://panta-rhei.site/publications/research-papers/tau-holomorphy-boundary-algebra/,https://prrp.site/rp005
rp004,research_papers.split_complex_boundary_algebra_d,research_paper,released,local_pdf,2026-04-27,The Split-Complex Boundary Algebra D,https://panta-rhei.site/publications/research-papers/split-complex-boundary-algebra/,https://panta-rhei.site/publications/research-papers/split-complex-boundary-algebra/,https://prrp.site/rp004
rp003,research_papers.master_constant_iota_tau,research_paper,released,local_pdf,2026-04-27,The Master Constant iota_tau,https://panta-rhei.site/publications/research-papers/master-constant-iota-tau/,https://panta-rhei.site/publications/research-papers/master-constant-iota-tau/,https://prrp.site/rp003
rp002,research_papers.prime_polarity_theorem,research_paper,released,local_pdf,2026-04-27,The Prime Polarity Theorem,https://panta-rhei.site/publications/research-papers/prime-polarity-theorem/,https://panta-rhei.site/publications/research-papers/prime-polarity-theorem/,https://prrp.site/rp002
rp001,research_papers.hyperfactorization_theorem,research_paper,released,local_pdf,2026-04-27,The Hyperfactorization Theorem,https://panta-rhei.site/publications/research-papers/hyperfactorization-theorem/,https://panta-rhei.site/publications/research-papers/hyperfactorization-theorem/,https://prrp.site/rp001
rn001,research_notes.semantic_space_has_a_shape,research_note,released,local_pdf,2026-04-27,Semantic Space Has a Shape,https://panta-rhei.site/publications/research-notes/semantic-space-has-a-shape/,https://panta-rhei.site/publications/research-notes/semantic-space-has-a-shape/,https://prrp.site/rn001
pgb001,public_good_briefings.advanced_fission_safety_operations_licensing_fleet_modernization,public_good_briefing,superseded,local_pdf,2026-04-26,"τ for Advanced Fission Safety, Operations, Licensing, and Fleet Modernization",https://panta-rhei.site/publications/research-briefings/public-good/advanced-fission-safety-operations-licensing-fleet-modernization/,https://panta-rhei.site/publications/research-briefings/public-good/advanced-fission-safety-operations-licensing-fleet-modernization/,https://prrp.site/pgb001
rn006,research_notes.arithmetic_quantum_gravity_without_singularities,research_note,released,local_pdf,2026-04-25,Arithmetic Quantum Gravity Without Singularities,https://panta-rhei.site/publications/research-notes/arithmetic-quantum-gravity-without-singularities/,https://panta-rhei.site/publications/research-notes/arithmetic-quantum-gravity-without-singularities/,https://prrp.site/rn006
rn005,research_notes.black_hole_stability_without_extra_dimensions,research_note,released,local_pdf,2026-04-25,Black Hole Stability Without Extra Dimensions,https://panta-rhei.site/publications/research-notes/black-holes-without-extra-dimensions/,https://panta-rhei.site/publications/research-notes/black-holes-without-extra-dimensions/,https://prrp.site/rn005
rn004,research_notes.dark_matter_mond_category_tau,research_note,released,local_pdf,2026-04-25,Dark Matter vs. MOND vs. Category τ,https://panta-rhei.site/publications/research-notes/dark-matter-without-dark-matter-ksz-force-law/,https://panta-rhei.site/publications/research-notes/dark-matter-without-dark-matter-ksz-force-law/,https://prrp.site/rn004
rn003,research_notes.inflationary_observables_without_inflaton,research_note,released,local_pdf,2026-04-25,Inflationary Observables Without an Inflaton,https://panta-rhei.site/publications/research-notes/inflationary-observables-without-an-inflaton/,https://panta-rhei.site/publications/research-notes/inflationary-observables-without-an-inflaton/,https://prrp.site/rn003
rn002,research_notes.structural_prior_dynamic_ciss,research_note,released,local_pdf,2026-04-25,A Structural Prior for Dynamic Chirality-Induced Spin Selectivity,https://panta-rhei.site/publications/research-notes/structural-prior-dynamic-chirality-induced-spin-selectivity/,https://panta-rhei.site/publications/research-notes/structural-prior-dynamic-chirality-induced-spin-selectivity/,https://prrp.site/rn002
so001,synoptic_overviews.panta_rhei_conspectus,synoptic_overview,released,local_pdf,2026-04-21,The Panta Rhei Conspectus,https://panta-rhei.site/publications/conspectus/,https://panta-rhei.site/publications/conspectus/,https://prrp.site/so001
gt007,guided_tours.book_vii,guided_tour,released,local_pdf,2026-04-15,Book VII Guided Tour,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt007
gt006,guided_tours.book_vi,guided_tour,released,local_pdf,2026-04-15,Book VI Guided Tour,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt006
gt005,guided_tours.book_v,guided_tour,released,local_pdf,2026-04-15,Book V Guided Tour,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt005
